nombre,categoria,minutos,precio,precio_suv,precio_jeep,precio_van,precio_pickup,precio_truck
Cuidado Básico,Lavado,40,600.00,800.00,800.00,800.00,900.00,900.00
Cuidado Estándar,Lavado,60,900.00,1300.00,1300.00,1300.00,1500.00,1500.00
Cuidado Premium,Lavado,90,1200.00,1600.00,1600.00,1600.00,1800.00,1800.00
Lavado por fuera,Lavado,30,400.00,,,,,
Lavado exterior e interior profundo,Lavado,120,4237.28,,,,,
Lavado interior - Semi full,Lavado,60,2118.64,,,,,
Lavado interior - Full,Lavado,90,0.00,,,,,
Aplicación de cera,Detallado,30,423.72,,,,,
Cera a máquina,Detallado,60,1271.18,,,,,
Brillado,Detallado,120,4661.01,,,,,
Brillado de faroles,Detallado,30,1271.11,,,,,
Brillado de headlights,Detallado,30,508.47,,,,,
Tratamiento de interior,Detallado,60,1694.91,,,,,
Tratamiento de leather,Detallado,30,338.99,,,,,
Protector de leather y plástico,Detallado,30,800.00,,,,,
Cuidado de cover,Detallado,30,500.00,,,,,
Reparación de ribete,Reparación,90,1694.91,,,,,
Reparación y pintura de pieza,Reparación,480,12500.00,,,,,
