nombre,categoria,precio,existencia,unidad
Agua Dasani,Bebidas,50.00,0,Unidad
Coca Cola 400 ml,Bebidas,42.37,0,Unidad
Coca Cola 500 ml,Bebidas,63.56,0,Unidad
Jugo Frutop - Fruit Punch,Bebidas,42.37,0,Unidad
Jugo Frutop - Manzana,Bebidas,42.37,0,Unidad
Jugo Frutop - Naranja,Bebidas,42.37,0,Unidad
Gatorade - Fruit Punch,Bebidas,84.75,0,Unidad
Gatorade - Uva,Bebidas,84.75,0,Unidad
Gatorade - Cool Blue,Bebidas,84.75,0,Unidad
Gatorade - Naranja,Bebidas,84.75,0,Unidad
Cerveza Presidente Pilsener pequeña,Bebidas,169.50,0,Unidad
Cerveza Presidente Light pequeña,Bebidas,169.50,0,Unidad
Cerveza Heineken,Bebidas,169.49,0,Unidad
Cerveza Miller,Bebidas,169.49,0,Unidad
Cerveza Corona,Bebidas,212.49,0,Unidad
Smirnoff Ice - Apple,Bebidas,169.49,0,Unidad
Smirnoff Ice - Raspberry,Bebidas,169.49,0,Unidad
